ID,Date,Source,Message,Département,Anonymisé
1,2024-11-11,Slack,Director age stay catch home.,Production,Oui
2,2024-04-24,Teams,Maintain hand sing will buy administration mention.,Ventes,Oui
3,2025-01-09,Email,Culture daughter many nation catch under moment.,Finance,Oui
4,2024-08-10,Email,Participant finally collection nearly simple development.,IT,Oui
5,2024-04-22,Email,Thank body big act mother so air.,Production,Oui
6,2025-01-24,Slack,Instead however his.,RH,Oui
7,2024-08-25,Teams,Group property challenge military.,Ventes,Oui
8,2024-07-19,Teams,Live decision air ok try continue.,Ventes,Oui
9,2024-07-11,Teams,Any check ever drug pick.,Ventes,Oui
10,2024-07-11,Slack,Free teach skin drive military song seek.,Production,Oui
11,2024-03-07,Teams,Start animal appear.,Marketing,Oui
12,2024-09-26,Teams,Room laugh per industry opportunity program two nearly.,Production,Oui
13,2024-06-28,Email,Gun community remember we.,Finance,Oui
14,2024-06-19,Teams,Imagine happy ground market note gas government.,Production,Oui
15,2024-09-29,Email,Area court take guy long.,RH,Oui
16,2024-12-18,Teams,Democrat fast together training look.,Marketing,Oui
17,2024-07-01,Slack,Church bar anything out hotel operation name.,Marketing,Oui
18,2024-03-26,Email,Public trade trouble fast.,Marketing,Oui
19,2024-04-27,Email,Of middle prevent rule whole.,Marketing,Oui
20,2025-02-14,Email,Land measure take discussion from study single save.,Marketing,Oui
21,2024-08-30,Slack,Collection call data rise economy dinner.,RH,Oui
22,2024-03-16,Email,So feeling without market both.,Finance,Oui
23,2024-05-05,Teams,Begin enjoy certain economy dinner certainly million.,Marketing,Oui
24,2024-12-30,Email,Thank yourself eat level price.,Ventes,Oui
25,2024-10-05,Teams,Church option year pretty example.,Ventes,Oui
26,2024-03-11,Email,Case property second act that young treatment.,IT,Oui
27,2024-03-08,Email,Energy six source.,IT,Oui
28,2025-01-19,Teams,Almost energy parent so act.,RH,Oui
29,2025-01-29,Email,Shoulder try visit.,IT,Oui
30,2024-10-21,Slack,That these again region seat.,Ventes,Oui
31,2024-08-25,Email,Above far recognize with.,RH,Oui
32,2024-11-12,Email,Far back choose center design his all about.,IT,Oui
33,2024-10-25,Teams,Important position sound then provide feel.,Marketing,Oui
34,2024-12-22,Email,End key tell training.,RH,Oui
35,2024-07-13,Teams,Quality theory and worry fall lead pay.,Marketing,Oui
36,2024-04-21,Slack,Trade major bag together development PM.,IT,Oui
37,2024-07-29,Email,Evening movie wall write man include while.,Finance,Oui
38,2024-08-05,Slack,Top one mother seven stock successful.,Ventes,Oui
39,2025-02-04,Teams,Tv suffer challenge single it theory age catch.,Marketing,Oui
40,2024-02-27,Slack,Certain such owner throughout color room.,Marketing,Oui
41,2024-05-06,Slack,Tv eye high role maintain born industry.,Marketing,Oui
42,2024-04-20,Slack,Last meet determine law majority myself result.,Marketing,Oui
43,2024-09-03,Slack,Particularly maintain dream almost new student hundred.,IT,Oui
44,2024-06-26,Teams,Number play popular performance remain senior.,Ventes,Oui
45,2024-05-30,Teams,Rather about over song happy whole thus.,Finance,Oui
46,2024-07-14,Teams,Fly play dark war west outside research.,Ventes,Oui
47,2024-05-10,Teams,Choose somebody within set out other.,Marketing,Oui
48,2024-12-24,Email,Leader record summer central back study since also.,Ventes,Oui
49,2024-09-23,Email,Rise get glass when article.,RH,Oui
50,2024-08-26,Email,Yes million why fall forward.,Marketing,Oui
51,2024-03-04,Teams,Money agree yard sea.,IT,Oui
52,2024-05-05,Teams,Join thank out medical likely various majority itself.,RH,Oui
53,2024-11-22,Slack,Six occur stock fish seem.,Finance,Oui
54,2024-05-10,Email,Economy nature choose whatever could.,Marketing,Oui
55,2024-11-11,Slack,Baby describe minute look east dog.,Ventes,Oui
56,2024-12-14,Teams,Western raise born live in official that.,RH,Oui
57,2024-08-12,Email,Entire security month card lead together away.,Ventes,Oui
58,2024-08-22,Email,Executive three page choice real none product.,Ventes,Oui
59,2024-04-01,Email,Beyond blue else she end rate already.,IT,Oui
60,2024-06-14,Teams,Generation reveal in factor so early.,Finance,Oui
61,2024-02-19,Teams,Local which who write.,IT,Oui
62,2024-08-03,Slack,Budget where talk lead think system.,Ventes,Oui
63,2024-02-25,Email,Inside a list across situation moment ready.,Ventes,Oui
64,2024-10-07,Slack,Court effect really six share.,IT,Oui
65,2024-07-04,Teams,Buy five whether require.,Finance,Oui
66,2024-07-03,Teams,Enter financial pretty easy.,RH,Oui
67,2024-12-06,Email,Pretty general arm where.,Marketing,Oui
68,2025-01-15,Email,Upon after reveal democratic watch away possible.,Finance,Oui
69,2024-06-24,Email,High cause interesting least view old ago.,IT,Oui
70,2025-01-31,Slack,From major hundred strategy case success stand.,IT,Oui
71,2024-11-23,Slack,Situation community edge door.,Ventes,Oui
72,2024-12-30,Slack,Stuff detail here.,Finance,Oui
73,2024-03-19,Teams,Fast medical as loss politics middle soldier.,Ventes,Oui
74,2024-10-15,Email,President over growth plant class so.,Production,Oui
75,2024-06-29,Email,Half wait claim cell special news family.,Finance,Oui
76,2025-01-09,Teams,Although rise according question report color.,Marketing,Oui
77,2024-05-16,Teams,Test state while method benefit.,RH,Oui
78,2024-11-15,Email,Follow mention effort many maintain enjoy.,RH,Oui
79,2025-02-16,Email,City line parent compare attack several likely.,Ventes,Oui
80,2024-11-12,Slack,Personal base take discover section explain then result.,RH,Oui
81,2025-01-02,Teams,Purpose new popular writer.,RH,Oui
82,2024-09-22,Slack,Although use focus side.,IT,Oui
83,2024-05-11,Slack,Sea market break law.,RH,Oui
84,2024-05-27,Slack,Sometimes difficult move finally less prepare.,IT,Oui
85,2024-11-26,Slack,Three on thought.,Ventes,Oui
86,2024-11-07,Email,Play film identify expert environmental.,Finance,Oui
87,2024-03-02,Slack,Education debate ground war low sometimes.,RH,Oui
88,2024-11-04,Email,Middle movement article risk quickly able phone.,Marketing,Oui
89,2024-08-20,Email,Even sea degree gun weight dinner which quality.,Ventes,Oui
90,2024-06-16,Teams,Security market cold house peace friend or.,Production,Oui
91,2024-07-11,Email,Natural need song.,Finance,Oui
92,2024-05-15,Teams,Shake occur economy together push teach.,Marketing,Oui
93,2024-04-11,Teams,Career send movement stay prove resource heart realize.,Ventes,Oui
94,2024-12-10,Email,Movement measure travel stock western speech.,Marketing,Oui
95,2024-09-23,Teams,Herself fact condition democratic.,IT,Oui
96,2025-02-11,Slack,Particular movie early message line federal from.,Marketing,Oui
97,2024-11-16,Slack,We second serious decision scientist.,Finance,Oui
98,2024-10-27,Slack,Continue up thus soon.,Finance,Oui
99,2024-10-15,Teams,Usually modern century ask.,Production,Oui
100,2024-05-16,Email,Time officer serious worry different.,RH,Oui
101,2024-08-02,Teams,Themselves nation house who.,Production,Oui
102,2024-09-19,Slack,Conference police civil service model.,RH,Oui
103,2025-01-23,Email,General bed design despite increase I.,Marketing,Oui
104,2024-07-17,Email,Ahead occur choose himself major close claim culture.,RH,Oui
105,2024-07-11,Email,Right evening network.,Production,Oui
106,2024-03-10,Teams,Good rest drug woman worker security since.,RH,Oui
107,2024-05-12,Slack,Firm market what activity work fund.,Production,Oui
108,2025-01-23,Slack,Activity thank walk go.,Finance,Oui
109,2024-07-10,Email,Best collection seat already idea race seem.,Marketing,Oui
110,2024-10-09,Email,Care focus clear performance soon window issue.,Finance,Oui
111,2024-11-18,Teams,Style cost play.,Ventes,Oui
112,2024-11-18,Email,Beautiful this kind easy.,IT,Oui
113,2024-04-04,Teams,Performance past direction amount draw business impact.,Ventes,Oui
114,2024-03-04,Slack,Cultural nothing worry available stand.,Finance,Oui
115,2024-06-16,Slack,Able life option second natural.,Ventes,Oui
116,2024-07-06,Slack,Season young daughter experience information much deep.,Marketing,Oui
117,2024-04-17,Slack,Establish floor garden start six.,Marketing,Oui
118,2024-03-27,Email,Pull camera watch list.,Finance,Oui
119,2024-04-03,Teams,Trial red star ready.,Marketing,Oui
120,2024-12-15,Email,Exactly last person he under card.,Production,Oui
121,2024-04-11,Slack,Possible boy store word change.,Ventes,Oui
122,2025-01-31,Email,Discussion candidate build provide responsibility.,IT,Oui
123,2024-06-28,Teams,Help maybe lose test player.,Finance,Oui
124,2024-04-22,Email,Throughout ok friend born factor wrong eight throw.,Marketing,Oui
125,2024-03-05,Slack,Imagine service series positive research thus compare me.,Ventes,Oui
126,2024-07-02,Slack,Parent serious rich go bring rise foreign.,Ventes,Oui
127,2024-08-20,Teams,Girl talk understand but again natural.,Production,Oui
128,2024-11-10,Email,Near sing second human draw space describe director.,IT,Oui
129,2024-10-10,Email,Per position reflect final argue hot.,RH,Oui
130,2024-12-09,Email,Serve know nothing music.,Ventes,Oui
131,2024-03-08,Slack,Window artist southern finish plan century.,Marketing,Oui
132,2024-03-26,Teams,Executive friend our job.,RH,Oui
133,2024-08-12,Teams,Anyone however mean treatment war.,Production,Oui
134,2024-07-29,Email,Surface plan meeting ok fight.,Production,Oui
135,2024-09-14,Email,Conference owner simply research.,Finance,Oui
136,2024-09-18,Email,A Republican race hard agency change race happy.,Production,Oui
137,2024-07-24,Slack,Nothing conference crime budget doctor forward.,Ventes,Oui
138,2024-10-17,Email,Attention responsibility possible expect public break peace.,IT,Oui
139,2024-08-11,Teams,Color occur artist foot participant notice.,Ventes,Oui
140,2024-11-17,Teams,Leave kind though.,Marketing,Oui
141,2024-03-21,Email,Cup available side pass board pull.,Production,Oui
142,2024-03-03,Slack,Rather brother success benefit feeling table.,Marketing,Oui
143,2024-03-14,Email,Past stay always economy common resource.,Production,Oui
144,2024-06-25,Email,Goal create ok check significant.,Production,Oui
145,2024-05-10,Email,Write wait feeling million politics water trouble soldier.,RH,Oui
146,2024-12-06,Email,Sure huge education lose.,IT,Oui
147,2024-07-29,Slack,Statement anyone unit long.,Production,Oui
148,2025-01-24,Email,Song meeting north hope form day.,RH,Oui
149,2024-09-06,Slack,Teach idea imagine form book end.,Production,Oui
150,2024-02-28,Slack,Citizen son stuff somebody southern guy four.,Ventes,Oui
151,2024-08-30,Email,Beautiful its win rate boy fight worry.,Finance,Oui
152,2024-10-25,Slack,Within itself there investment.,Finance,Oui
153,2024-12-12,Email,Hot along the.,Marketing,Oui
154,2024-07-31,Email,Leave team court go point relationship.,Production,Oui
155,2024-09-21,Email,Member decide a close feel.,Finance,Oui
156,2024-03-09,Slack,Appear specific wish health world.,IT,Oui
157,2024-04-25,Slack,Within study might if.,RH,Oui
158,2025-01-04,Teams,Natural which just minute challenge building officer that.,IT,Oui
159,2024-02-29,Email,Industry lawyer size whatever.,IT,Oui
160,2024-04-12,Email,You now upon standard raise teach him million.,IT,Oui
161,2024-12-01,Slack,Number green contain career none create.,Production,Oui
162,2024-03-21,Teams,Wear full wrong over win.,Finance,Oui
163,2024-08-03,Email,Hold mind cost tree eye.,Production,Oui
164,2024-08-28,Slack,Wonder bill recognize.,RH,Oui
165,2024-12-04,Slack,Traditional task society heart resource find participant.,IT,Oui
166,2024-03-17,Slack,Road else apply authority seat including.,Marketing,Oui
167,2025-02-01,Teams,Series condition hard work wear indicate spring.,Marketing,Oui
168,2024-05-15,Slack,If set economic future.,RH,Oui
169,2024-07-16,Slack,Black hot according two score attack.,Marketing,Oui
170,2024-07-18,Slack,Project forget pull myself behind strategy tree.,Finance,Oui
171,2024-12-22,Slack,Turn last parent attention couple miss.,RH,Oui
172,2024-03-05,Slack,Left break enough.,RH,Oui
173,2024-04-09,Email,Investment authority truth board close physical.,IT,Oui
174,2024-06-07,Teams,Apply happen hospital.,RH,Oui
175,2024-11-23,Email,Price project scene environment be wait.,Ventes,Oui
176,2024-03-04,Email,Quickly into tend.,Finance,Oui
177,2025-01-05,Teams,Establish within themselves newspaper war partner size might.,Ventes,Oui
178,2025-02-15,Email,Hear cup begin three positive.,Production,Oui
179,2024-04-13,Email,Career season but yeah Republican learn.,Marketing,Oui
180,2024-05-03,Slack,Piece season range eight production for.,IT,Oui
181,2024-05-13,Slack,Responsibility play customer bad interview name student.,Marketing,Oui
182,2024-11-13,Slack,Seven policy soon behavior paper society word.,RH,Oui
183,2025-01-24,Teams,Act truth option leg against.,Ventes,Oui
184,2024-11-09,Slack,Production effort child apply.,IT,Oui
185,2024-06-07,Teams,Education unit various brother subject serious may.,Marketing,Oui
186,2024-04-25,Teams,Score quickly popular no.,Finance,Oui
187,2024-12-28,Slack,Daughter new couple attack.,IT,Oui
188,2024-08-24,Teams,Grow long plan peace paper season.,Ventes,Oui
189,2024-12-27,Slack,Class stuff recent do federal six raise.,Finance,Oui
190,2025-01-26,Teams,Nice allow set claim answer share.,Finance,Oui
191,2024-04-30,Slack,Economy follow huge age sort.,Production,Oui
192,2024-11-21,Slack,Yourself thought people music know along.,Finance,Oui
193,2024-04-20,Slack,Learn market herself from middle relate.,Finance,Oui
194,2024-05-10,Teams,Arm will natural challenge.,Ventes,Oui
195,2024-10-23,Email,Democratic man character edge language dream through street.,Production,Oui
196,2024-03-11,Slack,Training soon drug huge worry close huge.,Ventes,Oui
197,2024-07-08,Email,Name when behavior television baby bar.,RH,Oui
198,2024-07-10,Email,Any but majority between into loss teacher.,Ventes,Oui
199,2024-04-10,Teams,Everybody test hospital customer determine.,IT,Oui
200,2024-05-18,Email,Oil other throw agent sure old.,Finance,Oui
201,2024-10-18,Slack,They local young.,Finance,Oui
202,2024-05-04,Email,Lot floor city these development remember either.,IT,Oui
203,2024-02-27,Email,Fill road story state.,IT,Oui
204,2024-12-02,Email,Save medical school partner think research its.,Finance,Oui
205,2024-11-05,Email,Approach short during fine might.,Ventes,Oui
206,2024-05-15,Slack,Star stuff person bill issue nation.,IT,Oui
207,2024-05-08,Teams,Beautiful even whom fight shoulder north attack.,Ventes,Oui
208,2024-02-25,Slack,Nor high firm without center Democrat.,RH,Oui
209,2025-01-16,Email,Fund safe education positive work.,Finance,Oui
210,2024-06-28,Slack,Officer produce range finally room.,Marketing,Oui
211,2024-04-28,Teams,Although after new sense product six between.,RH,Oui
212,2024-11-23,Email,Sing threat game this.,Finance,Oui
213,2024-11-05,Email,Of hold skin card suggest player reality eat.,Ventes,Oui
214,2024-05-27,Teams,After support born hope.,RH,Oui
215,2024-12-14,Email,Low itself soldier subject professional speech.,Marketing,Oui
216,2024-06-28,Teams,Magazine former may white answer describe get education.,Marketing,Oui
217,2025-02-10,Slack,Type level individual sit teacher third cell.,Production,Oui
218,2024-12-08,Teams,Whole pull just before.,Production,Oui
219,2025-01-17,Teams,Piece bar loss.,Marketing,Oui
